LAT;-17,248257;;;;;;;;;;;;;
LONG;-50,130914;;;;;;;;;;;;;
;Temperatura do Ar [°C];Ponto de orvalho [°C];Radiação Solar [W/m2];DPV [kPa];Umidade Relativa do Ar [%];Precipitação [mm];Molhamento Foliar [min];Velocidade do Vento [m/s];Velocidade Máxima do Vento [m/s];Direção do Vento [deg];Painel Solar [mV];Bateria [mV];DeltaT [°C];
Data/Horário;avg;avg;avg;avg;avg;sum;time;avg;max;avg;last;last;avg;Daily ET0 [mm]
2020-11-04 11:00:00;27,56;11;614;2,35;35,96;0;0;1,5;3,4;118;9480;6770;10;
2020-11-04 10:00:00;24,38;12,9;657;1,55;49,63;0;0;0,5;1,7;189;6935;6719;7;
2020-11-04 09:00:00;19,95;13,6;270;0,76;67,6;0;0;0,3;2;242;6825;6610;4;
2020-11-04 08:00:00;17,3;14;52;0,36;81,34;0;0;0,2;1;240;6734;6519;2;
2020-11-04 07:00:00;16,75;13,4;3;0,35;81,3;0;0;0;0,7;230;3139;6326;2;
2020-11-04 06:00:00;16,68;13,7;0;0,31;83,3;0;0;0,4;1,3;191;0;6331;2;
2020-11-04 05:00:00;18,41;13,4;0;0,56;73,25;0;0;0,9;3,2;32;0;6326;3;
2020-11-04 04:00:00;18,22;12,7;0;0,61;70,49;0;0;0,2;0,8;269;0;6328;3;
2020-11-04 03:00:00;19,05;12,6;0;0,72;66,77;0;0;0;1,1;43;0;6328;4;
2020-11-04 02:00:00;19,99;11,5;0;0,96;58,47;0;0;0;0,8;210;0;6334;5;
2020-11-04 01:00:00;20,77;11,1;0;1,11;54,25;0;0;0,3;0,9;163;0;6340;6;
2020-11-04 00:00:00;21,36;11,1;0;1,2;52,34;0;0;0,3;1;170;0;6334;6;4,8
2020-11-03 23:00:00;22,57;10,9;0;1,42;47,81;0;0;0,9;2,1;195;0;6326;7;
2020-11-03 22:00:00;24,34;10,6;0;1,75;42,34;0;0;1,5;3,1;199;0;6377;8;
2020-11-03 21:00:00;25,82;10,7;0;2,03;38,88;0;0;1,7;4,9;191;0;6451;9;
2020-11-03 20:00:00;27,55;10,8;0;2,37;35,48;0;0;1,3;4,4;196;0;6576;10;
2020-11-03 19:00:00;29,81;10,3;114;2,92;30,15;0;0;1,9;4;220;5967;6733;12;
2020-11-03 18:00:00;31,05;10,7;356;3,21;28,69;0;0;1,9;4,9;214;8421;6790;12;
2020-11-03 17:00:00;30,79;11,5;298;3,06;30,81;0;0;1,3;3,1;196;9351;6796;12;
2020-11-03 16:00:00;31,2;9,9;283;3,31;26,95;0;0;1;3,3;216;9154;6801;13;
2020-11-03 15:00:00;31,35;10,1;669;3,33;27,19;0;0;1,3;3,8;212;9030;6790;13;
2020-11-03 14:00:00;31,68;9,5;1028;3,47;25,57;0;0;1,1;3,9;314;9988;6776;13;
2020-11-03 13:00:00;30,27;9,8;949;3,08;28,31;0;0;0,7;2,7;285;8833;6787;12;
2020-11-03 12:00:00;28,9;10,2;869;2,72;31,41;0;0;1;3;125;9207;6796;11;
2020-11-03 11:00:00;26,71;11;654;2,18;37,96;0;0;0,6;2,2;222;9648;6787;9;
2020-11-03 10:00:00;23,08;12,9;635;1,32;53,49;0;0;1;3,5;219;6892;6665;6;
2020-11-03 09:00:00;19,95;13,9;291;0,73;68,42;0;0;0,9;2,3;239;6815;6593;4;
2020-11-03 08:00:00;16,97;13,6;42;0,36;81,15;0;0;0,5;0,9;273;6686;6488;2;
2020-11-03 07:00:00;15,74;12,8;0;0,3;82,99;0;0;0,4;2;37;3134;6343;2;
2020-11-03 06:00:00;16,63;12,4;0;0,44;76,4;0;0;0,1;1,3;332;0;6334;3;
2020-11-03 05:00:00;17,43;12,4;0;0,53;72,76;0;0;0;0,8;287;0;6326;3;
2020-11-03 04:00:00;17,65;12,2;0;0,57;71,05;0;0;0,3;1;290;0;6334;3;
2020-11-03 03:00:00;18,38;12;0;0,69;66,82;0;0;0,3;1,1;262;0;6346;4;
2020-11-03 02:00:00;19,7;10,9;0;0,98;57,05;0;0;0,3;1,4;177;0;6340;5;
2020-11-03 01:00:00;20,36;10,8;0;1,08;54,66;0;0;0,2;1,1;206;0;6337;5;
2020-11-03 00:00:00;21,11;10,8;0;1,19;51,93;0;0;0,7;1,5;182;0;6343;6;5,9
2020-11-02 23:00:00;22,02;11,1;0;1,31;50,37;0;0;1,1;2,2;204;0;6326;6;
2020-11-02 22:00:00;23,07;11,5;0;1,45;48,27;0;0;1;2,2;210;0;6383;7;
2020-11-02 21:00:00;24,24;11,5;0;1,65;45,13;0;0;1;2,4;192;0;6499;7;
2020-11-02 20:00:00;26,53;11;0;2,15;38,03;0;0;1,2;2,6;182;0;6596;9;
2020-11-02 19:00:00;29,08;11,4;86;2,67;33,67;0;0;1,7;4,4;208;5114;6727;11;
2020-11-02 18:00:00;31,46;10,7;428;3,3;28,17;0;0;2,4;4,9;221;9327;6815;13;
2020-11-02 17:00:00;32,45;10,7;673;3,58;26,5;0;0;2,2;5,4;239;9590;6810;13;
2020-11-02 16:00:00;32,47;10,6;870;3,59;26,28;0;0;2;6;233;9667;6801;13;
2020-11-02 15:00:00;31,94;11,8;1016;3,34;29,47;0;0;1,5;4,9;237;9590;6787;12;
2020-11-02 14:00:00;30,62;12,8;1080;2,9;33,88;0;0;1,8;4,2;221;9969;6781;11;
2020-11-02 13:00:00;29,6;14,1;1082;2,53;38,93;0;0;1,4;3,6;146;9557;6787;10;
2020-11-02 12:00:00;27,65;16,6;855;1,8;51,23;0;0;1,3;3,8;129;8411;6764;7;
2020-11-02 11:00:00;25,62;15,8;668;1,47;54,95;0;0;1,4;4,5;171;6868;6650;6;
2020-11-02 10:00:00;22,36;15,2;647;0,96;64,41;0;0;1,5;2,9;213;6806;6588;4;
2020-11-02 09:00:00;19,7;15,5;320;0,52;77,04;0;0;1,6;3,6;214;6753;6545;3;
2020-11-02 08:00:00;17,63;15,4;36;0,25;87,36;0;0;0,6;1,7;241;6657;6465;1;
2020-11-02 07:00:00;16,93;15,2;0;0,18;90,09;0;0;1;2,3;241;3115;6328;1;
2020-11-02 06:00:00;17,09;15,4;0;0,18;90,4;0;0;0,9;2,6;247;0;6317;1;
2020-11-02 05:00:00;17,18;15,5;0;0,18;90,62;0;0;0,6;1,3;263;0;6323;1;
2020-11-02 04:00:00;18,12;15,6;0;0,28;86,06;0;0;0,4;1,4;234;0;6323;2;
2020-11-02 03:00:00;18,73;16,2;0;0,3;85,94;0;0;0,3;0,9;270;0;6328;2;
2020-11-02 02:00:00;19,54;16,5;0;0,37;83,25;0;0;0;0,5;263;0;6337;2;
2020-11-02 01:00:00;20,69;16,6;0;0,53;78,05;0;0;0;0,2;272;0;6348;3;
2020-11-02 00:00:00;21,83;16,1;0;0,77;70,25;0;0;0,1;1,6;250;0;6317;4;4,5
2020-11-01 23:00:00;22,62;16,1;0;0,89;67,37;0;0;0,1;0,7;255;0;6343;4;
2020-11-01 22:00:00;23,56;15,6;0;1,11;61,43;0;0;0,6;1,7;200;0;6420;5;
2020-11-01 21:00:00;24,66;15,9;0;1,28;58,54;0;0;0,9;1,9;195;0;6491;6;
2020-11-01 20:00:00;27,1;15,5;3;1,81;49,4;0;0;1,6;3,8;208;0;6596;7;
2020-11-01 19:00:00;29,31;16,1;95;2,22;45,25;0;0;1,8;4,4;208;5746;6750;8;
2020-11-01 18:00:00;30,08;15,9;199;2,44;42,62;0;0;2,1;4,3;213;8728;6824;9;
2020-11-01 17:00:00;31,15;15,8;539;2,72;39,85;0;0;1,7;4,6;208;8732;6781;10;
2020-11-01 16:00:00;30,85;16,5;765;2,55;42,5;0;0;1,4;3,5;214;9595;6801;9;
2020-11-01 15:00:00;30,5;17,4;872;2,36;45,8;0;0;1,3;3,4;245;8847;6784;9;
2020-11-01 14:00:00;29,46;17,9;980;2,04;50,27;0;0;1,3;8,5;249;9998;6778;8;
2020-11-01 13:00:00;27,63;19,2;853;1,45;60,58;0;0;0,8;2,9;310;10031;6787;6;
2020-11-01 12:00:00;25,72;19,6;719;1,02;69,08;0;0;0,7;2,6;348;9519;6824;4;
2020-11-01 11:00:00;23,82;19,4;374;0,69;76,57;0;0;0,5;2,1;293;9437;6818;3;
2020-11-01 10:00:00;21,77;19,4;267;0,34;86,86;0;0;1;2,3;211;9595;6796;2;
2020-11-01 09:00:00;20,58;20,4;185;0,01;99,27;0;0;0,6;2;216;6988;6736;0;
2020-11-01 08:00:00;19,99;19,9;46;0;99,99;0;0;0,2;2;227;6719;6508;0;
2020-11-01 07:00:00;19,5;19,4;0;0;99,99;0;0;0;1,1;276;1548;6317;0;
2020-11-01 06:00:00;19,3;19,2;0;0;99,99;0;0;0,1;0,6;191;0;6331;0;
2020-11-01 05:00:00;19,45;19,4;0;0;99,99;0;0;0;0,8;133;0;6331;0;
2020-11-01 04:00:00;19,81;19,7;0;0;100;0;0;0,2;1,1;21;0;6331;0;
2020-11-01 03:00:00;19,8;19,7;0;0;100;0;0;0,2;1,2;14;0;6343;0;
2020-11-01 02:00:00;20,23;20,1;0;0;99,41;0;0;0,8;1,8;31;0;6334;0;
2020-11-01 01:00:00;20,51;20,1;0;0,03;98,22;0;0;0,5;1,1;43;0;6351;0;
2020-11-01 00:00:00;20,64;20,2;0;0,05;97,5;0;0;0,4;1,3;55;0;6331;0;2,4
2020-10-31 23:00:00;20,81;20;0;0,09;95,93;0;0;0,8;1,7;54;0;6331;0;
2020-10-31 22:00:00;21,39;20,2;0;0,16;93,23;0;0;0,4;1,5;14;0;6417;1;
2020-10-31 21:00:00;21,84;20,4;0;0,2;92,22;0;0;0,6;1,6;22;0;6505;1;
2020-10-31 20:00:00;22,57;20,3;0;0,33;87,78;0;0;0,7;2,5;352;0;6608;2;
2020-10-31 19:00:00;23,09;20,2;25;0,43;84,37;0;0;1,6;5,2;351;2032;6741;2;
2020-10-31 18:00:00;24,1;20;202;0,64;78,49;0;0;3,5;7,1;341;6269;6793;3;
2020-10-31 17:00:00;25;20,6;586;0,71;77,26;0;0;4,5;8,5;333;9998;6790;3;
2020-10-31 16:00:00;24,37;21,4;361;0,48;84;0;0;4,1;7,2;343;10094;6790;2;
2020-10-31 15:00:00;25,43;22,2;250;0,56;82,9;0;0;2;6,1;314;9782;6813;2;
2020-10-31 14:00:00;26,14;22,5;486;0,64;80,95;0;0;1;2,3;259;9566;6833;3;
2020-10-31 13:00:00;24,5;22,3;350;0,37;87,75;0;0;0,9;2,2;242;10070;6790;2;
2020-10-31 12:00:00;23,94;22,5;303;0,23;91,96;0;0;1,5;2,9;229;9413;6810;1;
2020-10-31 11:00:00;23,17;22,5;153;0,09;96,32;0;0;1,1;2,4;211;7002;6739;1;
2020-10-31 10:00:00;22,55;22,4;82;0;99,56;0;60;1,2;3,3;225;6739;6565;0;
2020-10-31 09:00:00;22,5;22,4;94;0;99,99;0;60;1,3;2,7;208;6715;6542;0;
2020-10-31 08:00:00;22,23;22,1;0;0;99,99;0;60;0,6;1,7;228;2875;6326;0;
2020-10-31 07:00:00;21,91;21,8;0;0;99,99;0;60;0,2;1;231;651;6303;0;
2020-10-31 06:00:00;21,92;21,8;0;0;99,99;0;60;0,2;0,8;233;0;6300;0;
2020-10-31 05:00:00;21,96;21,9;0;0;99,99;0;60;0;0,7;209;0;6309;0;
2020-10-31 04:00:00;21,94;21,9;0;0;99,99;0;60;0;0,7;297;0;6317;0;
2020-10-31 03:00:00;21,91;21,8;0;0;99,99;0;60;0,3;1,6;317;0;6323;0;
2020-10-31 02:00:00;21,76;21,7;0;0;99,99;0;60;0,3;1,8;182;0;6340;0;
2020-10-31 01:00:00;22,12;22;0;0;100;0,8;60;0,7;2,3;16;0;6337;0;
2020-10-31 00:00:00;22,22;22,1;0;0;99,99;10,8;60;1,2;3,1;297;0;6343;0;3,5
2020-10-30 23:00:00;22,24;22,2;0;0;100;0;60;1,3;3,3;22;0;6328;0;
2020-10-30 22:00:00;22,49;22,4;0;0;99,99;0,6;60;1,2;2,8;49;0;6326;0;
2020-10-30 21:00:00;22,65;22,6;0;0;99,96;4,6;60;0,2;0,9;41;0;6360;0;
2020-10-30 20:00:00;22,28;22,1;0;0;99,7;0;60;0,3;1,5;329;0;6457;0;
2020-10-30 19:00:00;22,66;22,3;0;0,04;98,28;19,2;60;1,5;5,1;22;560;6596;0;
2020-10-30 18:00:00;27,31;21,1;44;1,12;69,74;0;0;1,9;4,5;176;1538;6702;4;
2020-10-30 17:00:00;28,62;20,9;533;1,43;63,54;0;0;2;4,2;188;9533;6781;5;
2020-10-30 16:00:00;27,88;21,6;214;1,16;69,74;0;0;1,3;4,2;276;9312;6793;4;
2020-10-30 15:00:00;31,1;19,5;597;2,23;50,57;0;0;1;4,3;256;9073;6793;8;
2020-10-30 14:00:00;29,72;20,5;386;1,74;58,19;0;0;1,5;4,6;190;9250;6804;6;
2020-10-30 13:00:00;29,48;20,9;590;1,63;60,43;0;0;1,1;4,2;200;9125;6810;6;
2020-10-30 12:00:00;27,91;21,2;629;1,22;67,46;0;0;0,8;2,3;212;9149;6815;5;
2020-10-30 11:00:00;25,74;21,4;536;0,75;77,31;0;0;1,1;3,6;214;9734;6787;3;
2020-10-30 10:00:00;23,52;21,1;325;0,38;86,72;0;0;1,2;3,1;207;9495;6818;2;
2020-10-30 09:00:00;22,28;20,9;235;0,19;92,77;0;0;1,2;2,5;209;9322;6778;1;
2020-10-30 08:00:00;20,67;20,6;53;0;99,85;0;20;0,1;1;227;6763;6534;0;
2020-10-30 07:00:00;20,07;19,9;0;0;99,84;0;60;0,1;0,7;236;2497;6340;0;
2020-10-30 06:00:00;20,25;20;0;0,01;99,09;0;50;0;0,7;343;0;6320;0;
2020-10-30 05:00:00;20,43;20,1;0;0,03;98,38;0;20;0,2;1,3;140;0;6331;0;
2020-10-30 04:00:00;20,6;20,2;0;0,04;97,74;0;0;0,4;1,6;18;0;6334;0;
2020-10-30 03:00:00;20,82;20,1;0;0,08;96,19;0;0;0,3;1,6;13;0;6348;0;
2020-10-30 02:00:00;21,01;20,3;0;0,08;96,4;0;0;0,4;1,3;358;0;6351;0;
2020-10-30 01:00:00;21,4;20,4;0;0,13;94,63;0;0;0,3;1;50;0;6351;1;
2020-10-30 00:00:00;21,57;20,4;0;0,15;93,67;0;0;0,1;0,7;346;0;6326;1;4,1
2020-10-29 23:00:00;21,49;20,1;0;0,18;92,56;0;0;0,7;1,7;194;0;6343;1;
2020-10-29 22:00:00;21,89;20,2;0;0,24;90,49;0;0;1;2,2;236;0;6420;1;
2020-10-29 21:00:00;22,94;20,5;0;0,37;86,55;0;0;1,8;4,1;255;0;6516;2;
2020-10-29 20:00:00;25,55;20,3;0;0,88;73,61;0;0;1,8;4,3;259;0;6613;4;
2020-10-29 19:00:00;29,04;19,1;66;1,79;55,29;0;0;1,3;3,9;325;6398;6759;7;
2020-10-29 18:00:00;29,83;19,3;159;1,94;53,54;0;0;2,2;4,5;333;8363;6778;7;
2020-10-29 17:00:00;30,23;19,9;234;1,96;54,2;0;0;2,5;5,7;341;9432;6835;7;
2020-10-29 16:00:00;31,3;19,1;522;2,33;48,82;0;0;2,5;5,2;26;9312;6807;8;
2020-10-29 15:00:00;31,23;19,5;701;2,26;50,23;0;0;2;5,3;35;9566;6813;8;
2020-10-29 14:00:00;30,13;20,3;793;1,88;55,92;0;0;2,1;5,8;43;9475;6784;7;
2020-10-29 13:00:00;28,49;20,5;789;1,46;62,24;0;0;2,5;5,8;44;10137;6781;5;
2020-10-29 12:00:00;26,76;20,8;570;1,05;70,06;0;0;2,2;4,7;47;10060;6776;4;
2020-10-29 11:00:00;25,87;20,8;268;0,85;74,08;0;0;2,1;4,2;39;9610;6818;3;
2020-10-29 10:00:00;25,16;20,9;303;0,71;77,59;0;0;1,9;4,3;45;9868;6787;3;
2020-10-29 09:00:00;23,55;21,4;190;0,34;88,21;0;0;1,5;3,2;54;6901;6656;2;
2020-10-29 08:00:00;21,91;21;26;0,12;94,95;0;0;1,2;2,4;44;6595;6394;1;
2020-10-29 07:00:00;21,62;20,7;0;0,12;94,94;0;0;0,9;2,1;33;675;6323;1;
2020-10-29 06:00:00;21,54;20,6;0;0,12;94,8;0;0;0,4;1,5;7;0;6334;1;
2020-10-29 05:00:00;21,5;20,7;0;0,11;95,48;0;0;0,4;1,8;26;0;6326;1;
2020-10-29 04:00:00;21,78;20,7;0;0,15;93,89;0;0;0,5;1,2;17;0;6331;1;
2020-10-29 03:00:00;22,23;20,8;0;0,2;92,33;0;0;0,4;1,4;284;0;6337;1;
2020-10-29 02:00:00;22,86;20,7;0;0,32;88,18;0;0;1;3,7;241;0;6343;1;
2020-10-29 01:00:00;23,91;19,9;0;0,63;78,65;0;0;0,1;1,2;329;0;6343;3;
2020-10-29 00:00:00;23,87;20,4;0;0,54;81,45;0;0;0,3;1,7;325;0;6337;2;5,5
2020-10-28 23:00:00;25,19;20;0;0,85;73,25;0;0;0,8;2,4;72;0;6323;4;
2020-10-28 22:00:00;25,95;19,4;0;1,07;67,77;0;0;0,9;1,8;42;0;6383;4;
2020-10-28 21:00:00;26,75;19,7;0;1,2;65,88;0;0;0,8;1,5;47;0;6477;5;
2020-10-28 20:00:00;28,3;19,4;0;1,58;58,79;0;0;0,6;1,3;62;0;6588;6;
2020-10-28 19:00:00;29,63;18,4;77;2,01;51,33;0;0;0,9;3,7;28;4548;6730;7;
2020-10-28 18:00:00;30,77;16,6;256;2,52;42,87;0;0;2,3;5;7;8862;6804;9;
2020-10-28 17:00:00;31,28;17,7;502;2,51;44,7;0;0;2,5;7,7;5;9312;6784;9;
2020-10-28 16:00:00;31,42;19;756;2,38;48,16;0;0;2,7;7,5;5;9475;6796;8;
2020-10-28 15:00:00;31,08;20;824;2,16;52,02;0;0;3,1;6,5;358;10108;6787;8;
2020-10-28 14:00:00;30,6;20,4;732;1,98;54,73;0;0;3,7;9,4;349;10142;6796;7;
2020-10-28 13:00:00;30,6;20,4;1096;1,98;54,85;0;0;4,3;10;3;10122;6787;7;
2020-10-28 12:00:00;30,24;19,9;807;1,96;54,31;0;0;3,4;8,4;354;10036;6781;7;
2020-10-28 11:00:00;28,71;20,3;546;1,54;60,68;0;0;3,4;6;354;9974;6778;6;
2020-10-28 10:00:00;27,21;20,3;551;1,21;66,36;0;0;2,5;6,1;8;9614;6830;5;
2020-10-28 09:00:00;25,24;21,6;316;0,61;81,03;0;0;1,7;3,9;18;6930;6684;3;
2020-10-28 08:00:00;22,28;21,5;68;0,11;95,51;0;0;1;2,3;45;6667;6457;1;
2020-10-28 07:00:00;22,01;21;0;0,13;94,56;0;0;1,7;2,9;27;1663;6326;1;
2020-10-28 06:00:00;21,76;21,6;0;0,01;99,26;0;0;1,5;2,9;28;0;6326;0;
2020-10-28 05:00:00;21,88;21,8;0;0;99,99;0;0;1,7;3,9;37;0;6331;0;
2020-10-28 04:00:00;21,94;21,6;0;0,03;98,63;0;0;1,5;3;42;0;6337;0;
2020-10-28 03:00:00;22,37;21,5;0;0,12;95,25;0;0;1,6;3,2;55;0;6331;1;
2020-10-28 02:00:00;23,07;21,4;0;0,25;90,74;0;0;2;4,4;31;0;6346;1;
2020-10-28 01:00:00;24,46;21,5;0;0,49;83,92;0;0;0,8;2,4;42;0;6337;2;
2020-10-28 00:00:00;25,09;21,1;0;0,66;79;0;0;0,1;1,2;146;0;6334;3;4,2
2020-10-27 23:00:00;25,57;20,9;0;0,78;75,81;0;0;0,5;1,7;151;0;6323;3;
2020-10-27 22:00:00;25,94;21,1;0;0,83;74,87;0;0;0,3;1,2;179;0;6365;3;
2020-10-27 21:00:00;26,32;21,2;0;0,89;73,79;0;0;0,2;1,3;245;0;6485;4;
2020-10-27 20:00:00;27,46;20,6;3;1,22;66,66;0;0;0,7;2,2;192;0;6593;5;
2020-10-27 19:00:00;29,67;20,3;86;1,76;57,42;0;0;1,5;3,2;198;3312;6727;6;
2020-10-27 18:00:00;30,72;20,3;285;2,03;53,94;0;0;1,4;4,1;202;8574;6770;7;
2020-10-27 17:00:00;30,41;20;170;1,99;54,16;0;0;1,5;3,8;200;8891;6764;7;
2020-10-27 16:00:00;31,09;19,9;366;2,17;51,74;0;0;1,4;3,4;201;9178;6796;8;
2020-10-27 15:00:00;31,16;20,2;454;2,15;52,51;0;0;1;4,3;238;8895;6798;7;
2020-10-27 14:00:00;30,65;20,8;688;1,93;56,18;0;0;1,4;3,9;255;9140;6798;7;
2020-10-27 13:00:00;29,19;21,5;815;1,46;63,67;0;0;0,9;3;308;10146;6787;5;
2020-10-27 12:00:00;27,72;21,3;930;1,16;68,65;0;0;1,3;3,6;275;10051;6778;4;
2020-10-27 11:00:00;26,35;21;563;0,92;73,01;0;0;0,9;2,4;277;9782;6790;4;
2020-10-27 10:00:00;24,63;20,9;511;0,6;80,41;0;0;0,2;1,7;147;6925;6696;3;
2020-10-27 09:00:00;22,75;20,3;363;0,36;86,82;0;30;0,2;1,3;44;6791;6571;2;
2020-10-27 08:00:00;20,62;20,1;78;0,06;97,33;0,2;60;0,6;1,4;52;6681;6471;0;
2020-10-27 07:00:00;19,93;19,6;0;0,03;98,42;0;60;0,8;2,4;34;2679;6334;0;
2020-10-27 06:00:00;20,18;19,8;0;0,04;98,18;0;60;1;3;25;0;6340;0;
2020-10-27 05:00:00;20,18;19,9;0;0,02;98,79;0;60;0,9;2,8;19;0;6337;0;
2020-10-27 04:00:00;20,06;19,9;0;0;99,69;0;60;1,4;2,9;28;0;6346;0;
2020-10-27 03:00:00;20,06;20;0;0;99,97;0;60;1,7;3,1;40;0;6334;0;
2020-10-27 02:00:00;20,19;20,1;0;0;100;0;60;1,7;3,6;35;0;6354;0;
2020-10-27 01:00:00;20,32;20,2;0;0;99,91;0;60;0,8;2;357;0;6340;0;
2020-10-27 00:00:00;20,6;20,5;0;0;99,58;0,2;60;0,2;1,3;205;0;6357;0;2,9
2020-10-26 23:00:00;20,87;20,5;0;0,04;98,01;0,4;60;1,4;4;208;0;6348;0;
2020-10-26 22:00:00;21,66;21,1;0;0,06;97,25;0;60;2,5;5,9;200;0;6326;0;
2020-10-26 21:00:00;21,92;21,8;0;0;99,56;0;60;1,3;4,1;275;0;6340;0;
2020-10-26 20:00:00;22,09;21,9;0;0,01;99,14;0;60;0,3;1,6;218;0;6454;0;
2020-10-26 19:00:00;22,41;21,9;0;0,07;97,26;0;60;0,6;1,6;355;704;6553;0;
2020-10-26 18:00:00;23,52;22,2;6;0,2;92,97;1,2;30;1,6;4,1;6;1361;6619;1;
2020-10-26 17:00:00;25,34;22,4;82;0,51;84,05;0;0;3,2;7,2;2;1514;6722;2;
2020-10-26 16:00:00;26,44;23,3;513;0,56;83,51;0;30;4,1;12,1;2;9542;6835;2;
2020-10-26 15:00:00;24,14;22,7;137;0,23;92,45;8,4;50;2,5;7,7;356;9849;6781;1;
2020-10-26 14:00:00;30,61;21,9;629;1,75;60,06;0;0;2,4;6,5;6;6456;6744;6;
2020-10-26 13:00:00;30,2;22;645;1,64;61,76;8;0;1,9;4,1;322;9437;6815;6;
2020-10-26 12:00:00;28,07;22,3;450;1,08;71,28;0;0;1,8;4,5;344;9950;6773;4;
2020-10-26 11:00:00;25,78;22;215;0,65;80,31;0;0;1,2;3,6;22;6911;6647;3;
2020-10-26 10:00:00;24,68;21,8;63;0,46;84,84;0;0;1;3,4;46;5651;6485;2;
2020-10-26 09:00:00;23,61;21,8;85;0,27;90,33;0;0;1,1;2,7;66;6657;6477;1;
2020-10-26 08:00:00;22,98;21,7;14;0,19;93,18;0;0;0,8;1,8;57;6547;6363;1;
2020-10-26 07:00:00;22,51;21,7;0;0,11;95,54;0;0;1;1,9;64;853;6328;1;
2020-10-26 06:00:00;22,36;21,8;0;0,06;97,34;0;0;1,1;2,2;63;0;6323;0;
2020-10-26 05:00:00;23,04;22,3;0;0,1;96,29;0;0;1;2,3;117;0;6311;1;
2020-10-26 04:00:00;23,62;22;0;0,25;91,22;0;0;1,1;3,6;209;0;6320;1;
2020-10-26 03:00:00;23,71;21,8;0;0,3;89,37;0;0;1,2;3,1;39;0;6331;1;
2020-10-26 02:00:00;23,75;21,9;0;0,29;89,63;0;0;1,5;3,6;47;0;6323;1;
2020-10-26 01:00:00;24,05;21,9;0;0,34;88,29;0;0;1,1;2,6;56;0;6320;2;
2020-10-26 00:00:00;23,98;21,9;0;0,34;88,48;0;0;1,6;2,9;37;0;6328;2;4,3
2020-10-25 23:00:00;24,29;21,9;0;0,39;86,85;0;0;1,3;2,7;49;0;6348;2;
2020-10-25 22:00:00;24,54;21,6;0;0,48;84,26;0;0;1,3;2,4;57;0;6354;2;
2020-10-25 21:00:00;25,15;21,8;0;0,57;81,91;0;0;1,1;2,4;56;0;6331;2;
2020-10-25 20:00:00;26,83;21,6;0;0,92;73,65;0;0;1,2;3,3;34;0;6485;4;
2020-10-25 19:00:00;28,17;21,3;39;1,26;66,86;0;0;2;4,1;1;3618;6722;5;
2020-10-25 18:00:00;30,01;20,4;315;1,83;56,73;0;0;3,4;6,4;344;8320;6764;7;
2020-10-25 17:00:00;30,67;20,5;623;1,97;55,06;0;0;3,4;7,2;333;10017;6778;7;
2020-10-25 16:00:00;29,7;20,8;699;1,71;59,01;0;0;3,9;8,5;342;9686;6790;6;
2020-10-25 15:00:00;28,92;21,3;822;1,44;63,78;0;0;4,6;8,8;356;9490;6813;5;
2020-10-25 14:00:00;28,42;21,3;941;1,32;65,64;0;0;4,7;9,7;351;10175;6781;5;
2020-10-25 13:00:00;26,77;21,7;341;0,9;74,08;0;0;3,8;8,3;349;9365;6796;4;
2020-10-25 12:00:00;26,26;22,2;520;0,72;78,8;0;0;3,8;11,6;352;10122;6787;3;
2020-10-25 11:00:00;24,26;22,4;258;0,29;90,25;0;40;2;4;10;9250;6813;1;
2020-10-25 10:00:00;22,56;22,1;98;0,06;97,53;1,4;40;1,1;3,3;17;6973;6719;0;
2020-10-25 09:00:00;22,82;21,5;59;0,2;92,56;0;0;1,6;3,3;357;3906;6539;1;
2020-10-25 08:00:00;22,66;21,1;90;0,23;91,29;0;0;0,8;2,8;3;6710;6514;1;
2020-10-25 07:00:00;22,05;20,7;0;0,19;92,36;0;0;0,8;1,9;0;1433;6337;1;
2020-10-25 06:00:00;22,02;20,5;0;0,21;91,75;0;0;0,6;2,4;334;0;6328;1;
2020-10-25 05:00:00;21,56;20,7;0;0,11;95,33;0;0;0,9;2,4;49;0;6337;1;
2020-10-25 04:00:00;21,72;20,6;0;0,15;93,88;0;0;0,9;2,6;14;0;6340;1;
2020-10-25 03:00:00;21,35;20,8;0;0,07;97,15;0;0;0,9;1,9;43;0;6340;0;
2020-10-25 02:00:00;22,01;21;0;0,13;94,66;0;0;1,3;3,3;44;0;6346;1;
2020-10-25 01:00:00;22,57;20,8;0;0,26;90,07;0;0;0,9;2,2;39;0;6346;1;
2020-10-25 00:00:00;22,93;20,9;0;0,31;88,62;0;0;0,9;3;38;0;6354;1;3,4
2020-10-24 23:00:00;23,62;20,6;0;0,46;83,77;0;0;1,6;3,7;16;0;6343;2;
2020-10-24 22:00:00;24,59;21,1;0;0,56;81,48;0,6;30;2,5;7,8;1;0;6354;2;
2020-10-24 21:00:00;26,9;20,5;0;1,12;68,52;0,8;0;1,5;3,2;344;0;6428;4;
2020-10-24 20:00:00;27,31;20;0;1,27;64,76;0;0;1,2;2,8;17;0;6542;5;
2020-10-24 19:00:00;28,83;19,7;35;1,66;58,07;0;0;2,2;5,8;6;1418;6684;6;
2020-10-24 18:00:00;29,63;19,8;189;1,83;55,71;0;0;3;8,6;359;7448;6747;7;
2020-10-24 17:00:00;29,98;19,9;668;1,89;55,19;0;0;3,4;7,2;4;10113;6778;7;
2020-10-24 16:00:00;29,29;21,1;387;1,55;61,63;0;0;3,4;6,4;354;9413;6804;6;
